City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Longyearbyen,SJ,2022-04-13 19:28:46,78.2186,15.6401,19.24,73,75,8.05
112,Puerto Ayacucho,VE,2022-04-13 19:28:46,5.6639,-67.6236,94.82,40,93,4.52
113,Nikolskoye,RU,2022-04-13 19:28:47,59.7035,30.7861,36.81,93,80,2.95
114,Khudumelapye,BW,2022-04-13 19:28:47,-23.8833,24.75,69.78,45,84,7.49
115,Chifeng,CN,2022-04-13 19:28:47,42.2683,118.9636,40.37,49,0,2.98
116,Kualakapuas,ID,2022-04-13 19:28:48,-3.0091,114.3876,73.69,97,65,1.05
117,Puerto Escondido,MX,2022-04-13 19:28:48,15.85,-97.0667,88.63,66,0,11.5
118,Cidreira,BR,2022-04-13 19:28:48,-30.1811,-50.2056,68.13,76,100,10.22
119,Leningradskiy,RU,2022-04-13 19:28:49,69.3833,178.4167,-4.18,96,100,11.27
120,Bonavista,CA,2022-04-13 19:28:49,48.6499,-53.1147,32.04,94,100,24.61
121,Atuona,PF,2022-04-13 19:28:49,-9.8,-139.0333,78.6,79,51,17.87
122,Jamestown,US,2022-04-13 19:27:23,42.097,-79.2353,71.94,62,100,5.75
123,Hermanus,ZA,2022-04-13 19:28:50,-34.4187,19.2345,64.8,86,100,10.2
124,Vardo,NO,2022-04-13 19:28:50,70.3705,31.1107,22.98,74,0,4.61
125,Marzuq,YE,2022-04-13 19:28:50,14.4,46.4667,74.41,27,0,7.58
126,Broome,US,2022-04-13 19:28:51,42.2506,-75.833,76.98,64,100,16.11
127,Harbour Breton,CA,2022-04-13 19:28:51,47.4833,-55.7983,40.06,73,100,13.29
128,Auki,SB,2022-04-13 19:28:51,-8.7676,160.7034,76.64,85,13,3.31
129,Amapa,BR,2022-04-13 19:28:52,1.0,-52.0,77.67,96,100,4.7
130,Windhoek,NA,2022-04-13 19:28:52,-22.5594,17.0832,70.0,13,36,4.61
131,Wajima,JP,2022-04-13 19:28:52,37.4,136.9,49.8,84,100,21.54
132,Hithadhoo,MV,2022-04-13 19:28:53,-0.6,73.0833,83.75,72,100,11.48
133,Grindavik,IS,2022-04-13 19:28:53,63.8424,-22.4338,46.35,81,100,16.11
134,Lebu,CL,2022-04-13 19:27:34,-37.6167,-73.65,56.16,70,0,20.54
135,Saint-Augustin,CA,2022-04-13 19:28:53,51.226,-58.6502,36.05,99,96,2.95
136,Whitehorse,CA,2022-04-13 19:27:00,60.7161,-135.0538,25.11,38,0,0.0
137,Yuli,NG,2022-04-13 19:28:54,9.6989,10.2744,90.34,42,63,4.45
138,Walvis Bay,NA,2022-04-13 19:28:54,-22.9575,14.5053,58.08,94,33,2.3
