,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
498,Pangkalanbuun,ID,overcast clouds,88.52,-2.6833,111.6167,Grand Kecubung Hotel
507,Kontagora,NG,overcast clouds,79.88,10.3999,5.4695,Queens Guest Inn
508,Jardim,BR,clear sky,76.84,-21.4803,-56.1381,Estancia Hotel - Jardim MS
510,Touros,BR,broken clouds,75.78,-5.1989,-35.4608,INN NEW HORIZON
521,Matara,LK,few clouds,87.19,5.9485,80.5353,Amaloh Boutique Resort
527,Nioaque,BR,clear sky,77.18,-21.1353,-55.83,Nioaque Novo Hotel
529,Bacolod,PH,overcast clouds,88.75,10.6667,122.95,Planta Hotel & Residences
531,Doha,QA,haze,80.58,25.2867,51.5333,Movenpick Hotel Doha
533,Sola,VU,broken clouds,80.98,-13.8833,167.55,Leumerus Bungalows
541,Okitipupa,NG,overcast clouds,76.05,6.5047,4.7839,Coastal Hotel & Suites
