,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Margate,GB,51.3813,1.3862,47.7,77,27,5.99,scattered clouds
122,Barrow,US,71.2906,-156.7887,15.82,73,0,12.66,clear sky
123,Isiro,CD,2.7739,27.616,66.06,98,100,2.06,overcast clouds
124,Kuching,MY,1.55,110.3333,82.62,78,40,3.44,scattered clouds
125,Alta Floresta,BR,-9.8756,-56.0861,74.68,83,56,3.15,broken clouds
126,Phan Thiet,VN,10.9333,108.1,88.88,57,74,5.12,broken clouds
127,Yushan,CN,31.3776,120.9543,69.91,86,100,10.89,overcast clouds
128,Hashtrud,IR,37.4779,47.0508,52.84,77,100,0.83,light rain
129,Pedra,BR,-8.4969,-36.9408,65.01,98,100,2.98,overcast clouds
130,Port Hardy,CA,50.6996,-127.4199,44.78,76,75,3.44,broken clouds
131,Serov,RU,59.6033,60.5787,42.4,84,13,3.18,few clouds
132,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,20,8.05,few clouds
133,Ribeira Grande,PT,38.5167,-28.7,59.05,70,67,8.43,broken clouds
134,Pisco,PE,-13.7,-76.2167,67.01,82,0,6.91,clear sky
135,Arlit,NE,18.7369,7.3853,78.69,10,0,8.23,clear sky
136,Samarai,PG,-10.6167,150.6667,86.27,68,75,15.61,broken clouds
137,Khatanga,RU,71.9667,102.5,12.43,88,100,6.85,overcast clouds
138,Selizharovo,RU,56.8519,33.4487,40.37,95,77,3.65,broken clouds
139,Vostok,RU,46.4856,135.8833,61.34,51,93,4.92,overcast clouds
140,Mount Isa,AU,-20.7333,139.5,74.97,88,100,6.91,overcast clouds
141,Vao,NC,-22.6667,167.4833,74.91,56,100,19.69,overcast clouds
142,Chuy,UY,-33.6971,-53.4616,64.78,99,57,1.45,broken clouds
143,Barranca,PE,-10.75,-77.7667,66.45,85,90,5.75,overcast clouds
144,Swan Hill,AU,-35.3378,143.5544,69.17,52,100,11.1,light rain
145,Kizukuri,JP,40.8061,140.3861,64.81,48,100,1.77,overcast clouds
146,Nemuro,JP,43.3236,145.575,44.33,81,100,14.38,overcast clouds
147,Gao,ML,16.6362,1.637,77.99,19,0,11.36,clear sky
148,Tasiilaq,GL,65.6145,-37.6368,30.36,96,100,5.93,light snow
149,Carballo,ES,43.213,-8.691,55.87,82,96,4.0,overcast clouds
150,Souillac,MU,-20.5167,57.5167,75.58,78,40,13.8,scattered clouds
151,Gizo,SB,-8.103,156.8419,84.79,70,46,6.8,light rain
152,Faanui,PF,-16.4833,-151.75,81.91,71,14,10.49,few clouds
153,Vestmanna,FO,62.1564,-7.1664,34.72,75,20,2.3,few clouds
154,Kahului,US,20.8947,-156.47,80.62,69,40,23.02,scattered clouds
155,Camocim,BR,-2.9022,-40.8411,75.85,91,20,9.98,few clouds
156,Gunnedah,AU,-30.9833,150.25,72.09,44,100,6.6,moderate rain
157,Magnitka,RU,55.3475,59.6961,46.38,92,100,3.51,overcast clouds
158,Urengoy,RU,65.9667,78.3667,18.23,92,77,8.21,broken clouds
159,Tazovskiy,RU,67.4667,78.7,13.1,93,100,8.99,overcast clouds
160,Marathon,US,44.9,-89.7668,38.19,88,100,11.5,overcast clouds
161,Ibra,OM,22.6906,58.5334,79.81,37,2,2.53,clear sky
162,Fort Saint James,CA,54.4333,-124.25,43.97,58,100,4.61,overcast clouds
163,Sao Filipe,CV,14.8961,-24.4956,74.39,69,59,10.87,broken clouds
164,Champasak,LA,14.75,106.0,90.48,54,100,2.46,overcast clouds
165,Saint-Joseph,RE,-21.3667,55.6167,70.21,74,24,12.5,few clouds
166,Hobart,AU,-42.8794,147.3294,63.23,67,75,6.91,broken clouds
167,Port Hawkesbury,CA,45.6169,-61.3485,40.87,97,0,5.75,clear sky
168,Esperance,AU,-33.8667,121.9,71.29,59,42,15.84,scattered clouds
169,Ancud,CL,-41.8697,-73.8203,48.22,80,100,23.02,overcast clouds
170,Nizhniy Tsasuchey,RU,50.5167,115.1333,43.0,21,90,21.23,overcast clouds
171,Luderitz,NA,-26.6481,15.1594,59.99,50,0,10.54,clear sky
172,Byron Bay,AU,-28.65,153.6167,71.71,74,100,5.55,light rain
173,Kadoma,JP,34.7333,135.5833,78.78,65,75,4.61,broken clouds
174,Vilhena,BR,-12.7406,-60.1458,71.24,82,58,2.37,broken clouds
175,Villa Bruzual,VE,9.3328,-69.1208,78.26,71,93,4.99,overcast clouds
176,Geraldton,AU,-28.7667,114.6,73.81,56,75,10.36,broken clouds
177,Gat,IL,31.61,34.7642,71.4,77,0,1.43,clear sky
178,Tommot,RU,58.9564,126.2925,33.84,70,100,6.67,light snow
179,Ambon,ID,-3.6954,128.1814,87.94,66,40,4.61,scattered clouds
180,Lasem,ID,-6.6922,111.4527,84.83,72,91,4.0,overcast clouds
181,Katsuura,JP,35.1333,140.3,69.82,85,100,16.67,moderate rain
182,Kashi,CN,39.4547,75.9797,69.01,18,40,8.95,scattered clouds
183,Kruisfontein,ZA,-34.0033,24.7314,47.88,83,0,7.65,clear sky
184,Banepa,NP,27.6298,85.5214,70.12,49,20,2.3,haze
185,Jumla,NP,29.2747,82.1838,64.42,28,0,4.07,clear sky
186,Hambantota,LK,6.1241,81.1185,82.81,76,15,2.77,few clouds
187,Palmer,US,42.1584,-72.3287,56.01,30,100,16.11,overcast clouds
188,Mino,JP,34.8269,135.4706,78.03,65,75,4.61,broken clouds
189,Pangnirtung,CA,66.1451,-65.7125,-1.3,100,100,4.97,snow
190,Narasannapeta,IN,18.4167,84.05,90.34,60,25,10.87,scattered clouds
191,Talnakh,RU,69.4865,88.3972,9.21,92,100,7.74,overcast clouds
192,Vila Velha,BR,-20.3297,-40.2925,74.95,85,20,2.3,few clouds
